Feature,Importance
numeric__CGPA,0.16420160734205674
numeric__Salary Package,0.1081547139578355
numeric__SGPA_Sem7,0.10035268740879477
numeric__SGPA_Sem6,0.0926102179599485
numeric__SGPA_Sem5,0.08392771449040863
numeric__SGPA_Sem4,0.07580315970618283
numeric__SGPA_Sem8,0.06909267563577379
numeric__SGPA_Sem2,0.06826351829710538
numeric__SGPA_Sem1,0.05861693045547842
numeric__SGPA_Sem3,0.05153750769319743
numeric__AttendancePercent,0.02671679907586882
numeric__PlacementStatus,0.02238143254581081
numeric__IsAnomaly,0.015503251595127651
numeric__AptitudeTestScore,0.010705447947828486
numeric__CodingTestScore,0.01010396252501546
numeric__SoftSkillsRating,0.008995756799909582
numeric__Internships,0.007934247606676973
numeric__StudentID,0.004857188404961513
categorical__City_Bangalore,0.0043910054968947405
numeric__Projects,0.0038760171322714974
categorical__Specialisation_Embedded,0.0034843702397281116
categorical__City_Jaipur,0.0026895850769957973
categorical__Stream_EE,0.0024279954591693693
categorical__HistoryOfBacklogs_No,0.0013122729557870413
numeric__Certifications,0.0008234397545291824
numeric__ExtraCurricular,0.0006570617695419933
categorical__City_Pune,0.0005794326671009947
numeric__Workshops,0.0
numeric__Publications,0.0
numeric__MockInterviewScore,0.0
categorical__City_Chennai,0.0
categorical__City_Hyderabad,0.0
categorical__City_Delhi,0.0
categorical__City_Kochi,0.0
categorical__City_Ahmedabad,0.0
categorical__Gender_Female,0.0
categorical__Gender_Male,0.0
categorical__CollegeTier_Tier1,0.0
categorical__City_Mumbai,0.0
categorical__City_Kolkata,0.0
categorical__CollegeTier_Tier2,0.0
categorical__Stream_Civil,0.0
categorical__Stream_ECE,0.0
categorical__Stream_CS,0.0
categorical__CollegeTier_Tier3,0.0
categorical__Stream_Mechanical,0.0
categorical__Stream_IT,0.0
categorical__Specialisation_DataScience,0.0
categorical__Specialisation_AI,0.0
categorical__Specialisation_Networking,0.0
categorical__Hostel_No,0.0
categorical__Hostel_Yes,0.0
categorical__HistoryOfBacklogs_Yes,0.0
