Estimator_Number,Estimator_Weight
1,3.9596470966156483
2,3.0280971902863723
3,1.9614761442125404
4,1.9094401313919596
5,1.5668799408223775
6,1.506330021055552
7,1.3708641416801257
8,1.7805018778520378
9,1.9429569721199336
10,1.5001843683647385
11,1.6553758230048659
12,1.7418428387073495
13,1.4620349150086955
14,1.8685932987109777
15,1.538067602041634
16,1.190616738517361
17,1.1136180716594488
18,1.4282116741456392
19,1.5031663740834516
20,1.4770317085975955
21,1.0244155925763696
22,1.440450282013143
23,1.3483535929348545
24,1.3489214008242862
25,1.0944790407856246
26,1.3272553053642118
27,1.2088423558165537
28,1.17849623786621
29,1.5434200141793128
30,1.333771244386561
31,1.289599121184543
32,1.2428766217315286
33,1.2044938678999622
34,1.2105876373245874
35,1.31928559947668
36,1.2805152969095879
37,1.2958085107783042
38,1.2562786139684412
39,1.225652593441927
40,1.3777936280887415
41,1.1701719501995582
42,1.1364539745040945
43,1.1269132295796727
44,1.5708147278895965
45,1.1201445098350742
46,1.208866549476423
47,1.1291157396522127
48,1.205016270879234
49,1.0881697177245815
50,1.3017662562680026
51,1.0263169371063137
52,1.5680926155876982
53,1.0808601778218978
54,1.2059020380764875
55,1.063364936661809
56,1.4152718679470508
57,1.1758879291899889
58,1.0648143291868113
59,1.1246554314540484
60,1.3587900155718602
61,0.9652653536023585
62,1.2131560649348854
63,0.941415809970592
64,1.225164456672683
65,1.6229229039158533
66,1.4209436078100575
67,1.4802932456137783
68,1.0889134184320102
69,1.4249902142212048
70,1.257407410015689
71,1.1327706221137366
72,1.2631174711006001
73,1.0658412002607733
74,1.2851192196461758
75,1.539083083996686
76,1.1512703728210008
77,1.2081509902230996
78,1.191651437397324
79,1.1167891170318889
80,1.344234240881263
81,1.4466766861294484
82,0.8693502292595081
83,1.1804628362638354
84,1.1785107013554905
85,1.231293698140569
86,1.248527153912618
87,1.1513838163950152
88,1.1688417167457907
89,1.2863543944393117
90,1.090622923870041
91,1.292281963871502
92,1.1739304244779445
93,1.1785413085553536
94,1.081846996189509
95,1.251955102593617
96,1.182461862468983
97,1.0992693545522918
98,1.0317082625760083
99,1.401573942206772
100,1.3089744976588307
