Feature,Importance
numeric__Salary Package,0.37303300676308476
numeric__SGPA_Sem6,0.07789563383778839
numeric__SGPA_Sem7,0.07280220328485898
numeric__SGPA_Sem8,0.06318939100039536
categorical__CGPA_Tier_Low,0.04811003510990381
numeric__SGPA_Sem4,0.04724386555672391
numeric__SGPA_Sem5,0.04293542264289126
numeric__MockInterviewScore,0.03639921250975503
numeric__CodingTestScore,0.029724475692220014
numeric__CGPA,0.027427630022645918
numeric__Projects,0.026452119141076175
numeric__SGPA_Sem3,0.023614644384032272
numeric__AptitudeTestScore,0.022013643639583646
numeric__SoftSkillsRating,0.02128020670749526
numeric__Certifications,0.01540394093511004
numeric__SGPA_Sem1,0.014809140515803525
numeric__Internships,0.014504025151031196
categorical__HistoryOfBacklogs_No,0.0071546553280592865
numeric__AttendancePercent,0.006607847106780188
categorical__HistoryOfBacklogs_Yes,0.005949007603814487
numeric__SGPA_Sem2,0.005573929821388689
numeric__Publications,0.004698275502018354
categorical__CGPA_Tier_High,0.003979344876344735
numeric__Workshops,0.0031415949659064964
categorical__CollegeTier_Tier3,0.0012544675301013471
categorical__CGPA_Tier_Mid,0.0012212276378109363
categorical__CollegeTier_Tier1,0.000882705509954969
numeric__StudentID,0.0006611422606668938
numeric__IsAnomaly,0.0004724317741945427
categorical__CollegeTier_Tier2,0.0001759550317474402
numeric__ExtraCurricular,0.00011438542654671438
categorical__Stream_CS,0.0001100221509203415
categorical__Gender_Male,8.577000057365022e-05
categorical__Specialisation_DataScience,8.028768886311978e-05
categorical__Hostel_No,7.901969374468982e-05
categorical__Specialisation_AI,7.48311716897902e-05
categorical__Hostel_Yes,7.442249410925366e-05
categorical__Gender_Female,7.367026231931817e-05
categorical__City_Bangalore,5.971753701043797e-05
categorical__Stream_Mechanical,5.604672354197626e-05
categorical__Specialisation_Embedded,5.3725181375971166e-05
categorical__City_Hyderabad,5.055853194748828e-05
categorical__Specialisation_Networking,4.761440516915264e-05
categorical__Stream_ECE,4.3645252105616446e-05
categorical__City_Kolkata,4.362099189892619e-05
categorical__City_Jaipur,4.1151764058806776e-05
categorical__Stream_EE,3.9168471967873815e-05
categorical__Stream_IT,3.904504515350041e-05
categorical__City_Delhi,3.821723004844211e-05
categorical__City_Mumbai,3.6593925735596856e-05
categorical__Stream_Civil,3.61088754818814e-05
categorical__City_Pune,3.276499546708377e-05
categorical__City_Kochi,3.19373539450941e-05
categorical__City_Ahmedabad,2.3891519003179472e-05
categorical__City_Chennai,2.2601464134227046e-05
